Dates,MOV_AVG_200D,RSI_14D,MOV_AVG_50D,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,VOLATILITY_30D,BETA_ADJ_OVERRIDABLE,PX_HIGH_LOW_DIFFERENCE
10/1/13,1592.16,50.93,1679.96,1695,1682.41,1696.55,1682.07,4.63E+08,10,1.04,14.48
10/2/13,1593.56,50.43,1679.99,1693.87,1691.9,1693.87,1680.34,4.84E+08,9.8,1.04,13.53
10/3/13,1594.8,44.15,1679.84,1678.66,1692.35,1692.35,1670.36,5.00E+08,9.96,1.04,21.99
10/4/13,1596.02,49.43,1679.84,1690.5,1678.79,1691.94,1677.33,4.40E+08,10.1,1.04,14.61
10/7/13,1597.22,43.99,1679.53,1676.12,1687.15,1687.15,1674.7,4.25E+08,10.38,1.04,12.45
10/8/13,1598.28,37.59,1678.94,1655.45,1676.22,1676.79,1655.03,5.71E+08,9.89,1.04,21.76
10/9/13,1599.41,38.03,1678.35,1656.4,1656.99,1662.47,1646.47,5.74E+08,9.87,1.04,16
10/10/13,1600.74,52.08,1678.48,1692.56,1660.88,1692.56,1660.88,5.52E+08,11.73,1.04,31.68
10/11/13,1602.16,55.3,1678.41,1703.2,1691.09,1703.44,1688.52,4.83E+08,11.74,1.04,14.92
10/14/13,1603.62,57.31,1678.42,1710.14,1699.86,1711.03,1692.13,4.24E+08,11.74,1.04,18.9
10/15/13,1605.09,52.85,1678.24,1698.06,1709.17,1711.57,1695.93,5.33E+08,11.82,1.04,15.64
10/16/13,1606.57,59.45,1678.72,1721.54,1700.49,1721.76,1700.49,5.44E+08,12.43,1.04,21.27
10/17/13,1607.92,62.26,1679.56,1733.15,1720.17,1733.45,1714.12,5.43E+08,12.53,1.04,19.33
10/18/13,1609.35,64.83,1680.5,1744.5,1736.72,1745.31,1735.74,7.04E+08,12.36,1.04,9.57
10/21/13,1610.74,64.87,1681.57,1744.66,1745.2,1747.79,1740.67,4.99E+08,12.23,1.04,7.12
10/22/13,1612.2,67.15,1682.87,1754.67,1746.48,1759.33,1746.48,5.70E+08,12.29,1.04,12.85
10/23/13,1613.65,63.47,1683.92,1746.38,1752.27,1752.27,1740.5,5.34E+08,12.34,1.04,11.77
