Dates,PX_LAST
10/01/2013,54.6
10/31/2013,54.6
11/30/2013,55.5
12/31/2013,56.5
1/31/2014,52.5
2/28/2014,55
3/31/2014,55.9
4/30/2014,56.6
5/31/2014,55.7
6/30/2014,55
7/31/2014,55.1
8/31/2014,56.3
9/30/2014,55.7
10/31/2014,56.2
11/30/2014,56.3
12/31/2014,55.7
1/31/2015,53.9
2/28/2015,53
3/31/2015,52.1
4/30/2015,51.9
5/31/2015,52.9
6/30/2015,52.5
7/31/2015,52
8/31/2015,50.2
9/30/2015,50.1
10/31/2015,49.1
11/30/2015,49.1
12/31/2015,48.7
1/31/2016,47.6
2/29/2016,49.2
3/31/2016,51
4/30/2016,51.3
5/31/2016,51.4
6/30/2016,52.2
7/31/2016,52.7
8/31/2016,49.8
9/30/2016,51.1
10/31/2016,51.8
11/30/2016,53.2
12/31/2016,54.4
1/31/2017,55.7
2/28/2017,57.7
3/31/2017,56.5
4/30/2017,55.8
5/31/2017,56.4
6/30/2017,56.2
7/31/2017,56.5
8/31/2017,58.4
9/30/2017,60
10/31/2017,58.6
11/30/2017,57.6
12/31/2017,59.7
1/31/2018,59.4
2/28/2018,60.9
3/31/2018,58.8
4/30/2018,58.6
5/31/2018,59
6/30/2018,59.9
7/31/2018,58.1
8/31/2018,60.5
9/30/2018,59.3
10/31/2018,58.1
11/30/2018,58.6
12/31/2018,54.9
1/31/2019,55.7
2/28/2019,54.4
3/31/2019,54.9
4/30/2019,53.6
5/31/2019,52.6
6/30/2019,51.5
7/31/2019,51
8/31/2019,48.5
9/30/2019,48.1
10/31/2019,48.1
11/30/2019,48.1
12/31/2019,47.9
1/31/2020,51.4
2/29/2020,50.1
3/31/2020,49
4/30/2020,41.8
5/31/2020,43.5
6/30/2020,52.6
7/31/2020,53.8
8/31/2020,55.4
9/30/2020,55.5
10/31/2020,58.7
11/30/2020,57.3
12/31/2020,60.2
1/31/2021,59.2
2/28/2021,60.7
3/31/2021,64
4/30/2021,60.9
5/31/2021,61.7
6/30/2021,61.4
7/31/2021,60
8/31/2021,59.6
9/30/2021,60.5
10/31/2021,60.5
11/30/2021,60.7
12/31/2021,58.3
1/31/2022,57.4
2/28/2022,58.3
3/31/2022,57.3
4/30/2022,55.6
5/31/2022,56.1
6/30/2022,53.4
7/31/2022,52.8
8/31/2022,52.8
9/30/2022,50.8
10/31/2022,50
11/30/2022,48.9
12/31/2022,48.1
1/31/2023,47.4
2/28/2023,47.7
3/31/2023,46.5
4/30/2023,47
5/31/2023,46.6
6/30/2023,46.4
7/31/2023,46.5
8/31/2023,47.6
9/30/2023,48.6
10/31/2023,46.9
11/30/2023,46.6
12/31/2023,47.1
1/31/2024,49.1
2/29/2024,47.8
3/31/2024,50.3
4/30/2024,49.2
5/31/2024,48.7
6/30/2024,48.5
7/31/2024,46.8
8/31/2024,47.2
9/30/2024,47.2
