Dates,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,EARN_YLD
10/1/2013,15.4355,2.495,1.5112,6.4786
10/2/2013,15.4252,2.4933,1.5102,6.4829
10/3/2013,15.2867,2.4709,1.4966,6.5416
10/4/2013,15.3945,2.4883,1.5072,6.4958
10/7/2013,15.2636,2.4672,1.4944,6.5515
10/8/2013,15.0753,2.4367,1.4759,6.6334
10/9/2013,15.084,2.4381,1.4768,6.6295
10/10/2013,15.4133,2.4914,1.509,6.4879
10/11/2013,15.5102,2.507,1.5185,6.4474
10/14/2013,15.5734,2.5172,1.5247,6.4212
10/15/2013,15.4634,2.4995,1.5139,6.4669
10/16/2013,15.6772,2.534,1.5348,6.3787
10/17/2013,15.7829,2.5511,1.5452,6.336
10/18/2013,15.8863,2.5678,1.5553,6.2947
10/21/2013,15.8877,2.5681,1.5555,6.2942
10/22/2013,15.9789,2.5828,1.5644,6.2583
10/23/2013,15.9034,2.5706,1.557,6.288
10/24/2013,15.9553,2.579,1.5621,6.2675
10/25/2013,16.0255,2.5903,1.5689,6.24
10/28/2013,16.0468,2.5939,1.571,6.2318
10/29/2013,16.1364,2.6083,1.5798,6.1972
10/30/2013,16.0578,2.5956,1.5721,6.2275
10/31/2013,15.9961,2.5857,1.5661,6.2515
11/1/2013,16.0425,2.5932,1.5706,6.2334
11/4/2013,16.0998,2.6024,1.5762,6.2112
11/5/2013,16.0547,2.5951,1.5718,6.2287
11/6/2013,16.1231,2.6062,1.5785,6.2023
11/7/2013,15.9106,2.5718,1.5577,6.2851
11/8/2013,16.1242,2.6064,1.5786,6.2018
11/11/2013,16.1359,2.6083,1.5798,6.1974
11/12/2013,16.0976,2.6021,1.576,6.2121
11/13/2013,16.228,2.6231,1.5888,6.1622
11/14/2013,16.3065,2.6358,1.5965,6.1325
11/15/2013,16.3753,2.647,1.6032,6.1068
11/18/2013,15.8357,2.5848,1.5751,6.3148
11/19/2013,15.802,2.5805,1.5719,6.3283
11/20/2013,15.7442,2.5706,1.5657,6.3515
11/21/2013,15.8774,2.5929,1.5784,6.2983
11/22/2013,15.9566,2.6058,1.5862,6.267
11/25/2013,15.9365,2.6025,1.5842,6.2749
11/26/2013,15.9556,2.6021,1.5843,6.2674
11/27/2013,15.9952,2.6085,1.5882,6.2519
11/28/2013,15.9952,2.6084,1.5882,6.2519
11/29/2013,15.9827,2.6064,1.587,6.2568
12/2/2013,15.9392,2.5993,1.5826,6.2738
12/3/2013,15.8882,2.591,1.5776,6.294
12/4/2013,15.8673,2.5876,1.5756,6.3023
12/5/2013,15.7986,2.5764,1.5688,6.3297
12/6/2013,15.9761,2.6053,1.5864,6.2593
12/9/2013,16.0047,2.6099,1.5893,6.2482
12/10/2013,15.9541,2.6017,1.5842,6.268
12/11/2013,15.7735,2.5724,1.5663,6.3398
12/12/2013,15.714,2.5627,1.5604,6.3638
12/13/2013,15.7123,2.5624,1.5602,6.3644
12/16/2013,15.8101,2.5786,1.5701,6.3251
12/17/2013,15.7611,2.5706,1.5652,6.3447
12/18/2013,16.026,2.6133,1.5912,6.2399
12/19/2013,16.0163,2.6118,1.5903,6.2436
12/20/2013,16.0935,2.6244,1.598,6.2137
12/23/2013,16.1791,2.6383,1.6065,6.1808
12/24/2013,16.2263,2.646,1.6111,6.1628
12/25/2013,16.2263,2.646,1.6111,6.1628
12/26/2013,16.3033,2.6586,1.6188,6.1337
12/27/2013,16.2978,2.6577,1.6182,6.1358
12/30/2013,16.2949,2.6572,1.6179,6.1369
12/31/2013,16.3581,2.6633,1.6244,6.1132
1/1/2014,16.3569,2.6633,1.6244,6.1136
1/2/2014,16.2119,2.6397,1.61,6.1683
1/3/2014,16.2065,2.6388,1.6094,6.1704
1/6/2014,16.1658,2.6322,1.6054,6.1859
1/7/2014,16.2641,2.6482,1.6152,6.1485
1/8/2014,16.2607,2.6477,1.6148,6.1498
1/9/2014,16.2664,2.6486,1.6154,6.1477
1/10/2014,16.3039,2.6547,1.6191,6.1335
1/13/2014,16.0988,2.6213,1.5987,6.2116
1/14/2014,16.273,2.6497,1.616,6.1452
1/15/2014,16.3571,2.6633,1.6244,6.1136
1/16/2014,16.335,2.6598,1.6222,6.1218
1/17/2014,16.2714,2.6494,1.6159,6.1458
1/20/2014,16.2714,2.6494,1.6159,6.1458
1/21/2014,16.3165,2.6567,1.6204,6.1288
1/22/2014,16.3259,2.6583,1.6213,6.1252
1/23/2014,16.1808,2.6346,1.6069,6.1802
1/24/2014,15.843,2.5796,1.5733,6.3119
1/27/2014,15.7657,2.5671,1.5657,6.3429
1/28/2014,15.8625,2.5828,1.5753,6.3042
1/29/2014,15.7006,2.5565,1.5592,6.3692
1/30/2014,15.8775,2.5853,1.5768,6.2982
1/31/2014,15.7748,2.5685,1.5666,6.3392
2/3/2014,15.4147,2.5099,1.5308,6.4873
2/4/2014,15.5325,2.5291,1.5425,6.4381
2/5/2014,15.5008,2.524,1.5393,6.4513
2/6/2014,15.6936,2.5553,1.5585,6.372
2/7/2014,15.9023,2.5893,1.5792,6.2884
2/10/2014,15.9273,2.5934,1.5817,6.2785
2/11/2014,16.1035,2.6221,1.5992,6.2098
