Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2013-10-01,1592.16,50.93,1679.96,1695.0,1682.41,1696.55,1682.07,463000000.0,10.0,1.04,14.48,72.4,54.6,15.4355,2.495,1.5112,6.4786,2.65,15.54
2013-10-02,1593.56,50.43,1679.99,1693.87,1691.9,1693.87,1680.34,484000000.0,9.8,1.04,13.53,72.4,54.6,15.4252,2.4933,1.5102,6.4829,2.6173,16.6
2013-10-03,1594.8,44.15,1679.84,1678.66,1692.35,1692.35,1670.36,500000000.0,9.96,1.04,21.99,72.4,54.6,15.2867,2.4709,1.4966,6.5416,2.6046,17.67
2013-10-04,1596.02,49.43,1679.84,1690.5,1678.79,1691.94,1677.33,440000000.0,10.1,1.04,14.61,72.4,54.6,15.3945,2.4883,1.5072,6.4958,2.6447,16.74
2013-10-07,1597.22,43.99,1679.53,1676.12,1687.15,1687.15,1674.7,425000000.0,10.38,1.04,12.45,72.4,54.6,15.2636,2.4672,1.4944,6.5515,2.6265,19.41
2013-10-08,1598.28,37.59,1678.94,1655.45,1676.22,1676.79,1655.03,571000000.0,9.89,1.04,21.76,72.4,54.6,15.0753,2.4367,1.4759,6.6334,2.632,20.34
2013-10-09,1599.41,38.03,1678.35,1656.4,1656.99,1662.47,1646.47,574000000.0,9.87,1.04,16.0,72.4,54.6,15.084,2.4381,1.4768,6.6295,2.6631,19.6
2013-10-10,1600.74,52.08,1678.48,1692.56,1660.88,1692.56,1660.88,552000000.0,11.73,1.04,31.68,72.4,54.6,15.4133,2.4914,1.509,6.4879,2.6814,16.48
2013-10-11,1602.16,55.3,1678.41,1703.2,1691.09,1703.44,1688.52,483000000.0,11.74,1.04,14.92,72.4,54.6,15.5102,2.507,1.5185,6.4474,2.6871,15.72
2013-10-14,1603.62,57.31,1678.42,1710.14,1699.86,1711.03,1692.13,424000000.0,11.74,1.04,18.9,72.4,54.6,15.5734,2.5172,1.5247,6.4212,2.6871,16.07
2013-10-15,1605.09,52.85,1678.24,1698.06,1709.17,1711.57,1695.93,533000000.0,11.82,1.04,15.64,72.4,54.6,15.4634,2.4995,1.5139,6.4669,2.7276,18.66
2013-10-16,1606.57,59.45,1678.72,1721.54,1700.49,1721.76,1700.49,544000000.0,12.43,1.04,21.27,72.4,54.6,15.6772,2.534,1.5348,6.3787,2.6633,14.71
2013-10-17,1607.92,62.26,1679.56,1733.15,1720.17,1733.45,1714.12,543000000.0,12.53,1.04,19.33,72.4,54.6,15.7829,2.5511,1.5452,6.336,2.5894,13.48
2013-10-18,1609.35,64.83,1680.5,1744.5,1736.72,1745.31,1735.74,704000000.0,12.36,1.04,9.57,72.4,54.6,15.8863,2.5678,1.5553,6.2947,2.5777,13.04
2013-10-21,1610.74,64.87,1681.57,1744.66,1745.2,1747.79,1740.67,499000000.0,12.23,1.04,7.12,72.4,54.6,15.8877,2.5681,1.5555,6.2942,2.6014,13.16
2013-10-22,1612.2,67.15,1682.87,1754.67,1746.48,1759.33,1746.48,570000000.0,12.29,1.04,12.85,72.4,54.6,15.9789,2.5828,1.5644,6.2583,2.5124,13.33
2013-10-23,1613.65,63.47,1683.92,1746.38,1752.27,1752.27,1740.5,534000000.0,12.34,1.04,11.77,72.4,54.6,15.9034,2.5706,1.557,6.288,2.5016,13.42
2013-10-24,1615.11,64.89,1685.25,1752.07,1747.48,1753.94,1745.5,525000000.0,12.35,1.04,8.44,72.4,54.6,15.9553,2.579,1.5621,6.2675,2.5197,13.2
2013-10-25,1616.54,66.78,1687.22,1759.77,1756.01,1759.82,1752.45,542000000.0,12.31,1.04,7.37,72.4,54.6,16.0255,2.5903,1.5689,6.24,2.5088,13.09
2013-10-28,1617.99,67.35,1689.35,1762.11,1759.42,1764.99,1757.67,580000000.0,12.28,1.04,7.32,72.4,54.6,16.0468,2.5939,1.571,6.2318,2.5233,13.31
2013-10-29,1619.5,69.72,1691.86,1771.95,1762.93,1772.09,1762.93,502000000.0,11.89,1.04,9.16,72.4,54.6,16.1364,2.6083,1.5798,6.1972,2.5034,13.41
2013-10-30,1620.96,65.24,1694.08,1763.31,1772.27,1775.22,1757.24,480000000.0,11.99,1.04,17.98,72.4,54.6,16.0578,2.5956,1.5721,6.2275,2.5378,13.65
